Pathway_ID	Pathway_Name	Accession_Count	Accessions
Reactome: R-HSA-611105	Respiratory electron transport	99	Dcitr00g0458011;Dcitr00g1330011;Dcitr03g0142011;Dcitr00g0958011;Dcitr02g1869011;Dcitr06g0557011;Dcitr02g0270011;Dcitr02g1722011;Dcitr05g0765011;Dcitr03g1648011;Dcitr01g0878012;Dcitr01g0192011;Dcitr06g1553011;Dcitr05g1397011;Dcitr10g0904011;Dcitr02g1699011;Dcitr05g1129011;Dcitr12g0384011;Dcitr13g0510011;Dcitr00g0521011;Dcitr00g0286011;Dcitr11g0508011;Dcitr04g1046011;Dcitr09g0320011;Dcitr04g0944011;Dcitr01g0307011;Dcitr01g1279011;Dcitr02g0495011;Dcitr01g1416011;Dcitr10g0393011;Dcitr10g0905011;Dcitr01g0185011;Dcitr01g1474011;Dcitr12g0737011;Dcitr00g0693011;Dcitr00g0520011;Dcitr06g0556011;Dcitr01g0878011;Dcitr13g0609011;Dcitr00g0287011;Dcitr03g2036011;Dcitr05g0766011;Dcitr00g0477011;Dcitr03g2052011;Dcitr12g0389011;Dcitr10g0630011;Dcitr12g0256011;Dcitr02g1197011;Dcitr01g0200011;Dcitr00g1283011;Dcitr11g0743011;Dcitr10g0902011;Dcitr02g1208011;Dcitr09g0318011;Dcitr01g0878013;Dcitr05g0748011;Dcitr12g0842011;Dcitr11g0512011;Dcitr01g2044011;Dcitr11g0517011;Dcitr06g0495011;Dcitr13g0715011;Dcitr01g0983011;Dcitr04g1509011;Dcitr13g0608011;Dcitr12g0922011;Dcitr10g1068011;Dcitr04g1510011;Dcitr00g0524011;Dcitr13g0712011;Dcitr01g2043011;Dcitr13g0510012;Dcitr02g1363011;Dcitr05g0769011;Dcitr13g0557011;Dcitr07g0298011;Dcitr06g0496011;Dcitr10g0621011;Dcitr11g0548011;Dcitr10g0905012;Dcitr00g0541011;Dcitr02g1363012;Dcitr11g0747011;Dcitr01g0304011;Dcitr01g1436011;Dcitr12g0736011;Dcitr05g0763011;Dcitr13g0556011;Dcitr00g0523011;Dcitr01g1283011;Dcitr13g0509011;Dcitr11g0902011;Dcitr11g0216011;Dcitr02g1866011;Dcitr12g0924011;Dcitr06g1184011;Dcitr00g0534011;Dcitr03g0143011;Dcitr05g1403011
Reactome: R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	17	Dcitr05g1672011;Dcitr08g0423011;Dcitr03g0451011;Dcitr09g0660011;Dcitr03g0437011;Dcitr07g0585011;Dcitr05g1667011;Dcitr06g0631011;Dcitr03g1519012;Dcitr03g1519011;Dcitr00g0787011;Dcitr03g0470011;Dcitr03g1521011;Dcitr09g0659011;Dcitr05g0537011;Dcitr03g0468011;Dcitr05g1671011
Reactome: R-HSA-4086400	PCP/CE pathway	2	Dcitr01g0383011;Dcitr04g0463011
Reactome: R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR)	31	Dcitr01g2063011;Dcitr02g1521011;Dcitr02g0477011;Dcitr08g0368011;Dcitr03g0993011;Dcitr01g2128011;Dcitr06g1030011;Dcitr06g0120011;Dcitr02g1519011;Dcitr09g0270011;Dcitr01g1381011;Dcitr06g1446011;Dcitr01g1496011;Dcitr09g0265011;Dcitr06g1029011;Dcitr03g0565011;Dcitr02g1514011;Dcitr02g1516011;Dcitr01g2061011;Dcitr07g0746011;Dcitr11g0701011;Dcitr01g2136011;Dcitr10g0773011;Dcitr01g0716012;Dcitr04g0107011;Dcitr01g0716011;Dcitr01g0720011;Dcitr03g0169011;Dcitr03g1513011;Dcitr01g1500011;Dcitr11g0702011
Reactome: R-HSA-171007	p38MAPK events	2	Dcitr13g0589012;Dcitr13g0589011
Reactome: R-HSA-8941856	RUNX3 regulates NOTCH signaling	5	Dcitr04g1185011;Dcitr07g0829011;Dcitr00g0440011;Dcitr07g0830011;Dcitr09g0388011
Reactome: R-HSA-3371511	HSF1 activation	2	Dcitr02g0720011;Dcitr13g0537011
Reactome: R-HSA-447043	Neurofascin interactions	1	Dcitr07g1304011
Reactome: R-HSA-139915	Activation of PUMA and translocation to mitochondria	4	Dcitr03g0358011;Dcitr03g0352011;Dcitr04g0543011;Dcitr03g0356011
Reactome: R-HSA-5637810	Constitutive Signaling by EGFRvIII	5	Dcitr07g0835011;Dcitr07g0837011;Dcitr00g1113011;Dcitr03g1437011;Dcitr00g1213011
Reactome: R-HSA-167242	Abortive elongation of HIV-1 transcript in the absence of Tat	25	Dcitr00g0849011;Dcitr00g0590011;Dcitr01g1476011;Dcitr05g0789011;Dcitr01g1787011;Dcitr05g0914011;Dcitr05g1439011;Dcitr02g1988011;Dcitr00g0818011;Dcitr00g0588011;Dcitr03g0476011;Dcitr01g0232011;Dcitr02g0968011;Dcitr09g0456011;Dcitr01g0230011;Dcitr05g0789012;Dcitr09g0454011;Dcitr13g0573011;Dcitr05g0904011;Dcitr05g0902011;Dcitr09g0456012;Dcitr05g0788011;Dcitr13g0574011;Dcitr01g1336011;Dcitr01g2054011
Reactome: R-HSA-5576894	Phase 1 - inactivation of fast Na+ channels	2	Dcitr08g0747012;Dcitr08g0747011
Reactome: R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	17	Dcitr07g0908011;Dcitr04g1378011;Dcitr03g1458011;Dcitr00g1146011;Dcitr04g1246011;Dcitr06g1229011;Dcitr05g1014011;Dcitr00g1280011;Dcitr05g1011011;Dcitr02g1483011;Dcitr06g1501011;Dcitr07g0910011;Dcitr06g1498011;Dcitr02g1815011;Dcitr00g0877011;Dcitr02g1812011;Dcitr03g1467011
Reactome: R-HSA-500753	Pyrimidine biosynthesis	5	Dcitr08g0299011;Dcitr10g0568011;Dcitr08g0283011;Dcitr10g0506011;Dcitr10g0570011
Reactome: R-HSA-75109	Triglyceride biosynthesis	8	Dcitr00g0251011;Dcitr00g1218013;Dcitr00g0250011;Dcitr00g1218012;Dcitr04g0552011;Dcitr00g1218011;Dcitr00g1337011;Dcitr04g0608011
Reactome: R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	3	Dcitr02g1454011;Dcitr11g0424011;Dcitr02g1450011
Reactome: R-HSA-4641262	Disassembly of the destruction complex and recruitment of AXIN to the membrane	8	Dcitr03g1094011;Dcitr07g1279011;Dcitr03g1095011;Dcitr01g0383011;Dcitr03g1509011;Dcitr03g0351011;Dcitr03g1505011;Dcitr03g0348011
Reactome: R-HSA-202040	G-protein activation	9	Dcitr02g0868011;Dcitr13g0451011;Dcitr07g0795011;Dcitr08g0972011;Dcitr13g0445011;Dcitr06g1289011;Dcitr02g0872011;Dcitr13g0448011;Dcitr01g0428011
Reactome: R-HSA-6807878	COPI-mediated anterograde transport	70	Dcitr02g1516011;Dcitr04g0828011;Dcitr02g0745011;Dcitr01g2136011;Dcitr06g0544011;Dcitr01g0667011;Dcitr03g0539011;Dcitr08g0116011;Dcitr08g0135011;Dcitr11g0702011;Dcitr09g0161011;Dcitr01g2063011;Dcitr06g0120011;Dcitr11g0282011;Dcitr03g0635011;Dcitr02g1519011;Dcitr01g2061011;Dcitr00g1195011;Dcitr04g0831011;Dcitr06g0197011;Dcitr06g0199011;Dcitr04g1548011;Dcitr02g1675011;Dcitr04g1361011;Dcitr01g1500011;Dcitr02g0477011;Dcitr01g2128011;Dcitr09g0270011;Dcitr04g1374011;Dcitr01g1648011;Dcitr01g1652011;Dcitr02g1514011;Dcitr06g1029011;Dcitr04g1557011;Dcitr10g0773011;Dcitr06g0543011;Dcitr11g0701011;Dcitr01g0716012;Dcitr11g0292011;Dcitr04g1372011;Dcitr05g0491011;Dcitr02g0747011;Dcitr07g1204011;Dcitr07g1148011;Dcitr06g1030011;Dcitr10g0433011;Dcitr11g0343011;Dcitr01g0331011;Dcitr01g1381011;Dcitr03g0565011;Dcitr11g0349011;Dcitr01g1496011;Dcitr01g0328011;Dcitr07g0805011;Dcitr09g0265011;Dcitr01g1651011;Dcitr07g0746011;Dcitr03g0169011;Dcitr03g1513011;Dcitr07g1203011;Dcitr01g0720011;Dcitr11g0281011;Dcitr01g0716011;Dcitr04g0107011;Dcitr02g1521011;Dcitr05g0498011;Dcitr00g1484011;Dcitr03g0993011;Dcitr08g0368011;Dcitr05g0730011
Reactome: R-HSA-1650814	Collagen biosynthesis and modifying enzymes	18	Dcitr03g0927011;Dcitr12g0105013;Dcitr01g1521012;Dcitr00g1368011;Dcitr03g0932011;Dcitr03g0930011;Dcitr10g0179011;Dcitr03g0928011;Dcitr03g0933011;Dcitr06g0134011;Dcitr01g1521011;Dcitr12g0103011;Dcitr12g0105012;Dcitr00g1315011;Dcitr00g0159011;Dcitr00g0160011;Dcitr12g0105011;Dcitr01g0126011
Reactome: R-HSA-4043916	Defective MPI causes MPI-CDG (CDG-1b)	3	Dcitr00g1026011;Dcitr00g0407011;Dcitr00g0841011
Reactome: R-HSA-8866904	Negative regulation of activity of TFAP2 (AP-2) family transcription factors	1	Dcitr08g0767011
Reactome: R-HSA-77305	Beta oxidation of palmitoyl-CoA to myristoyl-CoA	1	Dcitr04g0831011
Reactome: R-HSA-3134973	LRR FLII-interacting protein 1 (LRRFIP1) activates type I IFN production	2	Dcitr07g0829011;Dcitr07g0830011
Reactome: R-HSA-168928	DDX58/IFIH1-mediated induction of interferon-alpha/beta	6	Dcitr00g1146011;Dcitr02g1483011;Dcitr00g0877011;Dcitr02g0175011;Dcitr04g1378011;Dcitr02g0175012
Reactome: R-HSA-167172	Transcription of the HIV genome	51	Dcitr01g1192011;Dcitr04g1356011;Dcitr02g0968011;Dcitr01g0232011;Dcitr00g1325011;Dcitr00g0655011;Dcitr05g1577011;Dcitr00g0588011;Dcitr05g1068011;Dcitr00g0818011;Dcitr01g1787011;Dcitr00g1439011;Dcitr05g0789011;Dcitr00g0590011;Dcitr05g1069011;Dcitr01g1336011;Dcitr12g0436011;Dcitr01g0867011;Dcitr04g0786011;Dcitr04g0617011;Dcitr05g1580011;Dcitr12g0437011;Dcitr05g0904011;Dcitr00g0320011;Dcitr00g1440011;Dcitr03g0625011;Dcitr05g0776011;Dcitr03g0632011;Dcitr13g0291011;Dcitr02g1881011;Dcitr02g1880011;Dcitr02g1988011;Dcitr03g1951011;Dcitr05g1072011;Dcitr00g0319011;Dcitr10g1102012;Dcitr00g0849011;Dcitr02g1959011;Dcitr02g0681011;Dcitr12g0603011;Dcitr12g0438011;Dcitr05g0788011;Dcitr12g0442011;Dcitr05g0902011;Dcitr10g1102011;Dcitr01g0865011;Dcitr10g1104011;Dcitr04g0619011;Dcitr05g1375011;Dcitr05g0789012;Dcitr01g0230011
Reactome: R-HSA-1250196	SHC1 events in ERBB2 signaling	1	Dcitr08g1008011
Reactome: R-HSA-5602498	MyD88 deficiency (TLR2/4)	3	Dcitr02g0774011;Dcitr02g0769011;Dcitr02g0765011
Reactome: R-HSA-6804758	Regulation of TP53 Activity through Acetylation	7	Dcitr10g0745011;Dcitr02g0500011;Dcitr10g0750011;Dcitr08g0151011;Dcitr08g0153011;Dcitr02g0504011;Dcitr01g1194011
Reactome: R-HSA-975110	TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling	7	Dcitr00g1146011;Dcitr02g0769011;Dcitr02g0765011;Dcitr02g0774011;Dcitr02g1483011;Dcitr00g0877011;Dcitr04g1378011
Reactome: R-HSA-168271	Transport of Ribonucleoproteins into the Host Nucleus	25	Dcitr01g0409011;Dcitr01g0262011;Dcitr01g0405011;Dcitr01g1501011;Dcitr04g1353011;Dcitr07g0642011;Dcitr03g0567011;Dcitr11g0302011;Dcitr01g1040011;Dcitr02g0594011;Dcitr03g1512011;Dcitr04g1353013;Dcitr01g1042011;Dcitr05g1451011;Dcitr03g1961011;Dcitr03g1513011;Dcitr05g0682011;Dcitr03g1954011;Dcitr02g1943011;Dcitr10g1029011;Dcitr13g0656011;Dcitr11g0297011;Dcitr04g1353012;Dcitr02g0592011;Dcitr03g0283011
Reactome: R-HSA-5620912	Anchoring of the basal body to the plasma membrane	29	Dcitr04g0777011;Dcitr00g1232011;Dcitr06g1555011;Dcitr05g0519011;Dcitr05g0513011;Dcitr11g0887011;Dcitr01g1641011;Dcitr02g1521011;Dcitr03g1502011;Dcitr01g0254011;Dcitr05g0518011;Dcitr02g1519011;Dcitr01g2128011;Dcitr01g0247011;Dcitr11g0886011;Dcitr10g0134011;Dcitr01g2136011;Dcitr13g0513011;Dcitr02g1516011;Dcitr04g0773011;Dcitr02g1514011;Dcitr02g0469011;Dcitr05g0515011;Dcitr08g0259011;Dcitr01g1634011;Dcitr08g1234011;Dcitr02g1167011;Dcitr08g0250011;Dcitr06g1556011
Reactome: R-HSA-8866423	VLDL assembly	14	Dcitr01g0462011;Dcitr13g0248011;Dcitr08g0935011;Dcitr00g1357011;Dcitr13g0247011;Dcitr01g0566011;Dcitr05g1031011;Dcitr08g0934011;Dcitr01g0459011;Dcitr01g0463011;Dcitr13g0246011;Dcitr08g0937011;Dcitr08g0932011;Dcitr05g1032011
Reactome: R-HSA-4720475	Defective ALG3 causes ALG3-CDG (CDG-1d)	1	Dcitr05g0537011
Reactome: R-HSA-5627117	RHO GTPases Activate ROCKs	2	Dcitr04g0779011;Dcitr04g0782011
Reactome: R-HSA-77075	RNA Pol II CTD phosphorylation and interaction with CE	35	Dcitr05g1439011;Dcitr00g0818011;Dcitr01g1787011;Dcitr05g0789011;Dcitr04g0244012;Dcitr00g0590011;Dcitr01g1192011;Dcitr04g0538011;Dcitr02g0968011;Dcitr01g0232011;Dcitr00g0588011;Dcitr05g1577011;Dcitr01g1336011;Dcitr04g0244011;Dcitr05g1580011;Dcitr01g0867011;Dcitr04g0617011;Dcitr05g0904011;Dcitr00g0320011;Dcitr02g1988011;Dcitr03g1951011;Dcitr00g0319011;Dcitr04g0244013;Dcitr02g0681011;Dcitr00g0849011;Dcitr02g1881011;Dcitr13g0291011;Dcitr02g1880011;Dcitr04g0619011;Dcitr05g0789012;Dcitr01g0230011;Dcitr12g0603011;Dcitr05g0788011;Dcitr01g0865011;Dcitr05g0902011
Reactome: R-HSA-164944	Nef and signal transduction	2	Dcitr02g1454011;Dcitr02g1450011
Reactome: R-HSA-74217	Purine salvage	17	Dcitr11g0450015;Dcitr03g1657011;Dcitr03g1659011;Dcitr12g0516011;Dcitr11g0450013;Dcitr09g0328011;Dcitr01g0711011;Dcitr03g1655011;Dcitr01g0711012;Dcitr02g1489011;Dcitr11g0450011;Dcitr03g1658011;Dcitr11g0450012;Dcitr02g1489012;Dcitr11g0450014;Dcitr02g1492011;Dcitr03g1656011
Reactome: R-HSA-9013973	TICAM1-dependent activation of IRF3/IRF7	6	Dcitr00g1146011;Dcitr04g1378011;Dcitr02g0793011;Dcitr00g0877011;Dcitr00g0689011;Dcitr02g1483011
Reactome: R-HSA-3000170	Syndecan interactions	3	Dcitr01g1853011;Dcitr02g1099011;Dcitr02g1097011
Reactome: R-HSA-674695	RNA Polymerase II Pre-transcription Events	83	Dcitr12g0284011;Dcitr02g0968011;Dcitr00g0655011;Dcitr05g1577011;Dcitr01g1192011;Dcitr01g1233011;Dcitr00g0590011;Dcitr05g1069011;Dcitr05g1068011;Dcitr00g0818011;Dcitr01g0493012;Dcitr03g0365011;Dcitr04g0617011;Dcitr09g0456012;Dcitr12g0437011;Dcitr05g0904011;Dcitr13g0574011;Dcitr03g0632011;Dcitr03g1260011;Dcitr00g1440011;Dcitr03g0625011;Dcitr03g0476011;Dcitr00g0319011;Dcitr02g1959011;Dcitr02g1988011;Dcitr03g1951011;Dcitr10g1102011;Dcitr01g0865011;Dcitr03g0367011;Dcitr12g0438011;Dcitr01g2054011;Dcitr12g0603011;Dcitr12g0442011;Dcitr04g0619011;Dcitr13g0573011;Dcitr05g1375011;Dcitr01g1240011;Dcitr01g0232011;Dcitr00g1325011;Dcitr00g0588011;Dcitr04g1356011;Dcitr04g1194012;Dcitr00g1439011;Dcitr05g0789011;Dcitr05g1439011;Dcitr12g0705011;Dcitr01g1787011;Dcitr04g0786011;Dcitr01g0867011;Dcitr05g1580011;Dcitr05g1060011;Dcitr00g0320011;Dcitr01g1336011;Dcitr12g0436011;Dcitr03g1466011;Dcitr09g0456011;Dcitr05g1052011;Dcitr05g0776011;Dcitr09g0772011;Dcitr09g0454011;Dcitr01g0493011;Dcitr01g2095011;Dcitr02g1880011;Dcitr09g0773011;Dcitr13g0291011;Dcitr04g1194011;Dcitr03g1452011;Dcitr02g1881011;Dcitr12g0285011;Dcitr01g1476011;Dcitr02g0681011;Dcitr10g1102012;Dcitr00g0849011;Dcitr12g0283011;Dcitr05g0914011;Dcitr05g1072011;Dcitr03g0364011;Dcitr05g0902011;Dcitr10g1104011;Dcitr01g1073011;Dcitr05g0788011;Dcitr01g0230011;Dcitr05g0789012
Reactome: R-HSA-70350	Fructose catabolism	6	Dcitr02g0175012;Dcitr02g0175011;Dcitr02g1126011;Dcitr01g1709011;Dcitr02g1129011;Dcitr02g1128011
Reactome: R-HSA-2032785	YAP1- and WWTR1 (TAZ)-stimulated gene expression	2	Dcitr06g0575011;Dcitr06g0574011
Reactome: R-HSA-8963693	Aspartate and asparagine metabolism	2	Dcitr02g0707011;Dcitr03g0862011
Reactome: R-HSA-180585	Vif-mediated degradation of APOBEC3G	80	Dcitr01g1240011;Dcitr06g0669011;Dcitr04g1203011;Dcitr03g1691011;Dcitr00g0877011;Dcitr00g1173011;Dcitr09g0188011;Dcitr02g1444011;Dcitr06g1296011;Dcitr05g0453011;Dcitr02g0738011;Dcitr06g0539011;Dcitr06g1291011;Dcitr03g0471011;Dcitr09g0184011;Dcitr02g1455011;Dcitr02g1206011;Dcitr04g1412011;Dcitr03g0908011;Dcitr09g0772011;Dcitr00g0535011;Dcitr06g0639011;Dcitr01g0474011;Dcitr00g1365011;Dcitr05g0452011;Dcitr09g0968011;Dcitr06g0539013;Dcitr09g0773011;Dcitr04g1223011;Dcitr02g0589011;Dcitr09g0970011;Dcitr03g0914011;Dcitr04g1433011;Dcitr03g1691012;Dcitr06g0638011;Dcitr06g0497011;Dcitr09g0755011;Dcitr01g1647011;Dcitr04g1378011;Dcitr06g0539012;Dcitr06g0478011;Dcitr01g1233011;Dcitr05g1471011;Dcitr09g0730011;Dcitr09g0760011;Dcitr00g1450011;Dcitr02g1483011;Dcitr06g0379011;Dcitr10g0292012;Dcitr03g1691013;Dcitr06g0536011;Dcitr02g1799011;Dcitr05g1464011;Dcitr03g0869011;Dcitr03g0900011;Dcitr03g1689011;Dcitr06g0670011;Dcitr00g1146011;Dcitr06g0382011;Dcitr03g0469011;Dcitr03g0872011;Dcitr04g0369011;Dcitr02g1801011;Dcitr02g0728011;Dcitr00g1531011;Dcitr06g0480011;Dcitr02g0591011;Dcitr01g1242011;Dcitr02g1456011;Dcitr03g0901011;Dcitr02g1200011;Dcitr09g0754011;Dcitr00g0826011;Dcitr03g0873011;Dcitr10g0292011;Dcitr04g0395011;Dcitr01g0481011;Dcitr03g0366011;Dcitr10g0294011;Dcitr03g1691014
Reactome: R-HSA-167161	HIV Transcription Initiation	51	Dcitr01g1336011;Dcitr12g0436011;Dcitr12g0437011;Dcitr00g0320011;Dcitr05g0904011;Dcitr01g0867011;Dcitr04g0786011;Dcitr04g0617011;Dcitr05g1580011;Dcitr03g0625011;Dcitr00g1440011;Dcitr05g0776011;Dcitr03g0632011;Dcitr01g1192011;Dcitr04g1356011;Dcitr00g0655011;Dcitr05g1577011;Dcitr00g0588011;Dcitr02g0968011;Dcitr01g0232011;Dcitr00g1325011;Dcitr01g1787011;Dcitr00g0818011;Dcitr05g1068011;Dcitr05g1069011;Dcitr00g0590011;Dcitr00g1439011;Dcitr05g0789011;Dcitr12g0442011;Dcitr05g0788011;Dcitr12g0603011;Dcitr12g0438011;Dcitr10g1102011;Dcitr01g0865011;Dcitr05g0902011;Dcitr10g1104011;Dcitr05g1375011;Dcitr05g0789012;Dcitr04g0619011;Dcitr01g0230011;Dcitr13g0291011;Dcitr02g1881011;Dcitr02g1880011;Dcitr05g1072011;Dcitr03g1951011;Dcitr02g1988011;Dcitr00g0849011;Dcitr10g1102012;Dcitr02g0681011;Dcitr02g1959011;Dcitr00g0319011
Reactome: R-HSA-5579007	Defective ACY1 causes encephalopathy	2	Dcitr01g1877011;Dcitr01g1873011
Reactome: R-HSA-391160	Signal regulatory protein family interactions	1	Dcitr08g0544011
